,WWWSEX,WWWWHITE,W12EDUC3,AGE65PLM,WWWBLACK,AGE4049M,W1FIPCOM,AGE5059M,W2TOTCL,AGE3039,W2FIPCOM,WWWHOMLN,W1TRUAM2,AGE1829,EDUCAT4,WWWBRNUS,W2CIVLIB,WWWHISP,CENSDIV,WWWEDU3,WWWAGEC1,WWWEDU5,W1STATE,AGE6064M,W12RACE4,W2SECURE,WWWRACE4,RAC3,WWWRACE3,NEWRACE,WWWAGE,COMPLET2,IMPHISP,RACES,W12OTHET,USAWT2CC,USAWT2NC,RACWT1RV,W2MISSCL,USAWT2RC,USAWT1RV,RHWT2CC,RHWT2RC,MULT2,W3IWER4_A
565,1,1,1.0,-1.0,-1,-1.0,0.9999999999999999,1.0,1.0000000000000002,-1.0,0.9999999999999999,1.0,-0.19999999999999996,-1.0,1.0,1.0,-0.4545454545454545,-1,-0.3548387096774195,1.0,0.33333333333333326,1.0,-0.38181818181818183,-1.0,-0.9999999999999999,0.6363636363636365,-0.9999999999999999,-1.0,-1,-1.0,0.12328767123287654,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.9061606075177893,-1.0,-0.8895653121663697,-0.8,-0.8814446788777035,-0.9056651008846651,-0.953235417316816,-0.9380041695387585,-1.0,1
690,1,1,-1.0,-1.0,-1,-1.0,0.9999999999999999,-1.0,1.0000000000000002,-1.0,0.9999999999999999,-1.0,1.0,-1.0,-0.33333333333333326,1.0,-0.2727272727272727,-1,-0.935483870967742,0.0,0.6666666666666667,-0.5,0.49090909090909074,1.0,-0.9999999999999999,0.4545454545454546,-0.9999999999999999,-1.0,-1,-1.0,0.26027397260273966,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.5019724944369275,-1.0,-0.5569395166987436,-0.8,-0.37985349768395005,-0.6215313610777743,-0.7518094709869467,-0.675708377702421,-1.0,1
1433,1,1,1.0,-1.0,-1,1.0,0.4285714285714285,-1.0,0.09090909090909105,-1.0,0.9999999999999999,-1.0,0.20000000000000018,-1.0,1.0,1.0,-0.2727272727272727,-1,-0.29032258064516125,1.0,0.0,1.0,-0.34545454545454546,-1.0,-0.9999999999999999,-0.4545454545454545,-0.9999999999999999,-1.0,-1,-1.0,-0.34246575342465757,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.6115030831426556,-1.0,-0.5427982364058472,0.19999999999999996,-0.5091786560556641,-0.6094516760081294,-0.8063937147292095,-0.7433360515757494,-1.0,1
639,-1,1,-1.0,-1.0,-1,-1.0,-0.1428571428571429,-1.0,-1.0,-1.0,-1.0,-1.0,0.6000000000000001,1.0,-0.9999999999999999,1.0,-1.0,-1,0.29032258064516125,-1.0,-0.6666666666666666,-1.0,-0.5636363636363637,-1.0,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-1,-1.0,-0.8082191780821918,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-1.0,-1.0,-0.552944861883325,-1.0,-1.0,-0.6181190694652294,-1.0,-1.0,-1.0,1
2843,1,1,-1.0,1.0,-1,-1.0,-1.0,-1.0,1.0000000000000002,-1.0,-0.1428571428571429,-1.0,-1.0,-1.0,-0.33333333333333326,1.0,0.09090909090909105,-1,-0.29032258064516125,0.0,0.9999999999999998,-0.5,0.018181818181818077,-1.0,-0.9999999999999999,0.09090909090909105,-0.9999999999999999,-1.0,-1,-1.0,0.5616438356164382,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.9952669816792511,-0.9952226301072652,-1.0,-0.8,-1.0,-1.0,-0.9976413143697014,-1.0,-1.0,1
2850,1,-1,0.0,1.0,1,-1.0,-1.0,-1.0,0.2727272727272727,-1.0,0.9999999999999999,-1.0,-1.0,-1.0,0.3333333333333335,1.0,0.09090909090909105,-1,-0.935483870967742,0.0,0.9999999999999998,0.0,0.49090909090909074,-1.0,-0.33333333333333326,-0.6363636363636362,-0.33333333333333326,0.0,0,0.0,0.726027397260274,-1.0,0.1428571428571428,-0.5999999999999999,-1.0,-0.9654647859488209,-0.9681091773998496,-1.0,0.0,-1.0,-1.0,-0.9609318949104247,-1.0,-1.0,1
2278,-1,1,1.0,-1.0,-1,-1.0,-1.0,-1.0,0.4545454545454546,-1.0,0.9999999999999999,-1.0,-1.0,-1.0,1.0,1.0,0.2727272727272727,-1,0.41935483870967727,1.0,0.6666666666666667,0.5,0.709090909090909,1.0,-0.9999999999999999,-0.6363636363636362,-0.9999999999999999,-1.0,-1,-1.0,0.15068493150684925,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.9889142724390466,-0.9887625268367151,-1.0,-0.19999999999999996,-1.0,-1.0,-0.9944754605777825,-1.0,-1.0,1
2106,-1,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,0.8181818181818183,-1.0,-0.1428571428571429,-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,-0.2727272727272727,1,0.9999999999999998,-1.0,0.6666666666666667,-1.0,-0.8181818181818182,1.0,0.3333333333333335,0.2727272727272727,0.3333333333333335,-1.0,-1,-1.0,0.26027397260273966,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-0.8009418094111598,-0.8060369460741063,-1.0,-0.6000000000000001,-1.0,-1.0,-0.7697971360816209,-1.0,-1.0,1
1936,-1,1,1.0,-1.0,-1,1.0,-1.0,-1.0,1.0000000000000002,-1.0,0.1428571428571428,-1.0,-1.0,-1.0,1.0,1.0,0.2727272727272727,-1,0.29032258064516125,1.0,0.0,1.0,0.3090909090909091,-1.0,-0.9999999999999999,-0.09090909090909083,-0.9999999999999999,-1.0,-1,-1.0,-0.20547945205479468,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.6951067206541823,-0.6909332269363377,-1.0,-0.8,-1.0,-1.0,-0.848057339307362,-1.0,-1.0,1
1606,1,1,0.0,-1.0,-1,-1.0,-1.0,1.0,1.0000000000000002,-1.0,0.9999999999999999,-1.0,-1.0,-1.0,0.3333333333333335,1.0,0.09090909090909105,-1,0.9999999999999998,0.0,0.33333333333333326,0.0,0.8909090909090909,-1.0,-0.9999999999999999,0.09090909090909105,-0.9999999999999999,-1.0,-1,-1.0,-0.06849315068493156,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.8982546283682357,-0.898372562940204,-1.0,-0.8,-1.0,-1.0,-0.9492954960763804,-1.0,-1.0,1
1754,1,-1,-1.0,1.0,1,-1.0,-1.0,-1.0,0.8181818181818183,-1.0,-0.1428571428571429,-1.0,-1.0,-1.0,-0.33333333333333326,1.0,-0.09090909090909083,-1,0.41935483870967727,0.0,0.9999999999999998,-0.5,-0.23636363636363644,-1.0,-0.33333333333333326,0.09090909090909105,-0.33333333333333326,0.0,0,0.0,0.780821917808219,-1.0,0.1428571428571428,-0.5999999999999999,-1.0,-0.8899406683456018,-0.8890511108420613,-1.0,-0.6000000000000001,-1.0,-1.0,-0.8754949215368806,-1.0,-1.0,1
