,CL7R,CL1R,CL5R,MOD,CT2BIN,DEMOC,CL2R,FEMALE,COLGRD,CL9R,CON,WWWWHITE,SOMCOL,INDEP,BABS,REPUB,CL8R,AGE65PLM,COMHS,AGE4049M,IWER3,CD4A_A,W12EDUC3,PTYID3,W2TOTCL,WWWBLACK,STRATA,AGE3039,VPROUD,FIPCOM,DOG6R,LIB,DOG3R,AGE5059M,P17_A,CL7,W1TRUAM2,F3,DOG4R,CD7_A,WWWHOMLN,CD15,CT1A,PROUD,AGE1829,CL9,SEC5,COMPLET2,ADVDEG,GT2,CENSDIV,W2CIVLIB,EDUCAT4,WWWAGEC1,CL1,CL2,INCA,W1STATE,CL5,FIP2,X1,CL4A,WWWEDU3,INCOME,B1,MEANFR,CL6B,FIP1,WWWEDU5,CL10R,CD8,W2SECURE,SEC4,WWWHISP,CL8,WWWAGE,IWER1,CD6,CLPROP,WWWRACE3,WWWRACE4,NEWRACE,MNDOG,AGE6064M,V1_B,POLINT,RI2_A,LOPROU,B2,LTHS,DOG2R,USAWT2RC,DOG5R,USAWT1RV,DOG1R,WWWBRNUS,PFR5R,F5,PFR1R,DG3,W3IWER4_A
63,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0000000000000002,1,0.0,1.0,1.0,0.0,-0.5,-1.0,0.5,-1.0,0.0,-1.0,-1.0,-0.33333333333333326,-1.0,0.75,-1.0,-0.8,-0.9999999999999999,-1.0,-1.0,0.33333333333333326,-0.33333333333333326,-1.0,-1.0,0.75,-0.935483870967742,0.8181818181818183,0.3333333333333335,-0.33333333333333326,0.1428571428571428,0.1428571428571428,-1.0,0.5185185185185184,0.1428571428571428,-0.9999999999999999,-1.0,0.5,0.0,0.5,0.1428571428571428,0.19999999999999996,0.5,0.0,0.0,1.0,-1.0,-0.6000000000000001,-0.9999999999999999,-1,0.1428571428571428,-0.5000000000000002,-1.0,0.33333333333333326,0.9999999999999998,0,-0.33333333333333326,0.0,-0.25,-1.0,-0.75,-0.33333333333333326,-1.0,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.75,-1.0,0.0,1.0,-0.7142857142857142,-0.4285714285714285,-0.25,-0.7142857142857142,0
13,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,-1.0,1,1.0,-1.0,-1.0,-1.0,0.5,-1.0,1.0,-1.0,-1.0,0.33333333333333326,0.6000000000000001,0.3333333333333335,1.0,0.0,-1.0,-0.8,-0.9999999999999999,1.0,-1.0,-1.0,-0.33333333333333326,-1.0,-1.0,0.0,-0.3548387096774195,-1.0,0.3333333333333335,0.0,1.0,-0.9999999999999999,0.0,0.40740740740740744,0.1428571428571428,0.1428571428571428,0.5,-1.0,0.0,-0.5,-0.9999999999999999,0.3333333333333335,0.5,0.0,0.0,1.0,-0.5,-1.0,-0.9999999999999999,-1,0.1428571428571428,-0.23529411764705888,1.0,-0.11111111111111116,-0.15492957746488512,0,-0.33333333333333326,0.0,0.5833333333333499,-1.0,-1.0,0.3333333333333335,-1.0,-1.0,-0.9999999999999999,-1.0,0.0,-1.0,-0.75,-0.4568981942053505,-0.25,1.0,-0.4285714285714285,-0.7142857142857142,-0.25,-0.9999999999999999,0
41,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0000000000000002,-1,1.0,1.0,-1.0,1.0,0.5,-1.0,-0.5,-1.0,0.0,-1.0,-0.19999999999999996,0.3333333333333335,-1.0,0.75,-1.0,-0.6,1.0,-1.0,-1.0,0.33333333333333326,-0.9999999999999999,-1.0,-1.0,-1.0,0.29032258064516125,0.8181818181818183,-0.33333333333333326,-0.33333333333333326,0.1428571428571428,0.1428571428571428,-1.0,-0.14814814814814814,0.1428571428571428,-0.9999999999999999,0.5,0.5,0.0,0.75,-0.9999999999999999,-0.19999999999999973,0.5,-1.0,-0.5,1.0,-1.0,-0.6000000000000001,-0.33333333333333326,-1,0.1428571428571428,-0.7058823529411766,1.0,-0.11111111111111116,0.9718309859155216,-1,-0.9999999999999999,-1.0,-0.08333333333334991,-1.0,-1.0,-0.33333333333333326,-1.0,1.0,-0.9999999999999999,-1.0,-0.75,0.30348534002542094,-0.25,-0.12258122333601229,-0.25,1.0,-0.7142857142857142,-0.4285714285714285,-0.5,-0.4285714285714285,0
16,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,0.0,1.0000000000000002,-1,1.0,-1.0,1.0,1.0,0.5,-1.0,0.5,-1.0,-1.0,0.33333333333333326,0.20000000000000018,-0.33333333333333326,-0.5,0.0,-1.0,-0.8,1.0,-1.0,-1.0,0.33333333333333326,0.3333333333333335,-1.0,-1.0,0.0,0.9999999999999998,0.09090909090909105,0.3333333333333335,0.6666666666666667,0.1428571428571428,0.1428571428571428,-1.0,-0.9629629629629629,0.1428571428571428,-0.9999999999999999,1.0,0.0,0.0,0.75,-0.9999999999999999,-0.33333333333333326,0.5,-1.0,0.0,1.0,-1.0,0.19999999999999996,-0.33333333333333326,-1,0.1428571428571428,0.2647058823529411,1.0,-0.11111111111111116,0.6901408450704831,-1,-0.9999999999999999,-1.0,0.08333333333334991,1.0,-1.0,1.0,-1.0,-1.0,-0.9999999999999999,-1.0,-1.0,0.217136837000661,-0.25,-0.1609682297844065,-0.25,1.0,-0.9999999999999999,-0.1428571428571428,-0.5,-0.7142857142857142,0
68,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1,1.0,-1.0,1.0,1.0,-0.5,-1.0,-0.5,-1.0,0.0,0.33333333333333326,0.20000000000000018,1.0,-0.5,0.75,-1.0,-0.8,0.3333333333333335,-1.0,1.0,-1.0,1.0,-1.0,-1.0,0.0,-0.3548387096774195,-1.0,1.0,-0.6666666666666666,-0.9999999999999999,-0.9999999999999999,-1.0,0.40740740740740744,-0.9999999999999999,-0.9999999999999999,0.5,0.0,1.0,0.5,-0.9999999999999999,-0.06666666666666665,0.5,-1.0,0.5,1.0,0.25,-1.0,-0.33333333333333326,-1,-0.9999999999999999,-0.8529411764705884,1.0,-0.7777777777777778,-0.7183098591549617,-1,-0.9999999999999999,-1.0,0.08333333333334991,-1.0,-0.75,1.0,-1.0,-1.0,-0.9999999999999999,-1.0,-0.25,-1.0,-0.25,0.18128408597222312,0.0,1.0,-0.4285714285714285,-0.7142857142857142,-0.25,-0.4285714285714285,0
75,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1,1.0,-1.0,1.0,0.0,-0.5,-1.0,1.0,1.0,0.0,0.33333333333333326,0.20000000000000018,-0.9999999999999999,-0.5,-0.75,-1.0,0.8,1.0,-1.0,-1.0,0.33333333333333326,0.3333333333333335,1.0,-1.0,-1.0,0.9354838709677418,-1.0,-0.33333333333333326,0.33333333333333326,0.1428571428571428,0.1428571428571428,1.0,-0.7407407407407407,0.1428571428571428,-0.9999999999999999,-0.5,0.75,0.0,1.0,-0.9999999999999999,1.0,0.5,0.0,-0.5,1.0,-1.0,-1.0,-0.9999999999999999,-1,0.1428571428571428,0.02941176470588225,1.0,-0.11111111111111116,0.6901408450704831,-1,-0.9999999999999999,-1.0,0.25,-1.0,-1.0,0.3333333333333335,1.0,-1.0,-0.9999999999999999,-1.0,0.0,-1.0,-0.75,0.14848858301818613,0.0,1.0,-0.1428571428571428,-0.9999999999999999,-0.25,-0.9999999999999999,0
29,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0000000000000002,1,0.0,1.0,-1.0,0.0,-0.5,-1.0,-0.5,-1.0,-1.0,0.33333333333333326,1.0,-0.33333333333333326,-1.0,0.75,-1.0,-0.8,-0.9999999999999999,1.0,-1.0,0.33333333333333326,-0.33333333333333326,-1.0,-1.0,0.0,0.29032258064516125,0.6363636363636365,-0.33333333333333326,-0.33333333333333326,-0.9999999999999999,-0.9999999999999999,0.0,-0.5555555555555556,0.1428571428571428,-0.9999999999999999,0.5,0.5,0.0,-0.5,-0.9999999999999999,0.3333333333333335,0.5,0.0,-0.5,1.0,-0.75,-0.4,-0.9999999999999999,-1,0.1428571428571428,-0.4411764705882355,1.0,-0.11111111111111116,0.12676056338040653,0,-0.33333333333333326,0.0,-0.58333333333335,-1.0,-0.75,0.3333333333333335,-1.0,-1.0,-0.9999999999999999,-1.0,-0.75,-0.7320192463183683,-0.75,-0.9364660878312875,-0.75,1.0,-0.7142857142857142,-0.4285714285714285,-0.25,-0.4285714285714285,0
6,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,0.5,-1.0,0.5,-1.0,0.0,-1.0,0.20000000000000018,1.0,-0.5,0.75,1.0,-0.8,-0.33333333333333326,1.0,1.0,0.33333333333333326,1.0,-1.0,-1.0,-1.0,0.29032258064516125,-1.0,0.3333333333333335,-1.0,-0.9999999999999999,0.1428571428571428,0.0,-0.5925925925925926,0.1428571428571428,0.1428571428571428,1.0,0.0,0.0,-0.5,-0.9999999999999999,-0.06666666666666665,0.5,0.0,0.0,1.0,0.25,-1.0,0.3333333333333335,1,0.1428571428571428,-0.911764705882353,1.0,-1.0,0.6901408450704831,-1,0.3333333333333335,-1.0,0.1666666666666501,-1.0,-0.75,-0.33333333333333326,-1.0,-1.0,-0.9999999999999999,-1.0,-0.75,-1.0,-0.25,-0.9571487252734371,-0.25,1.0,-0.1428571428571428,-0.9999999999999999,-0.5,-0.7142857142857142,0
30,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1,1.0,-1.0,1.0,-0.5,0.5,-1.0,0.5,-1.0,-1.0,0.33333333333333326,0.20000000000000018,-0.33333333333333326,-0.5,-0.75,1.0,0.40000000000000013,-0.33333333333333326,-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,0.9354838709677418,-1.0,-0.33333333333333326,0.9999999999999998,0.1428571428571428,1.0,-1.0,-0.8888888888888888,-0.9999999999999999,0.7142857142857144,0.5,0.0,0.0,-0.25,-0.9999999999999999,0.06666666666666687,0.5,0.0,-0.5,1.0,-1.0,-1.0,-0.9999999999999999,-1,-0.9999999999999999,0.7352941176470589,1.0,-0.7777777777777778,-0.4366197183099234,-1,-0.9999999999999999,-1.0,0.4166666666666501,-1.0,-1.0,0.3333333333333335,1.0,-1.0,-0.9999999999999999,-1.0,-0.25,-1.0,0.0,0.3015987408335046,-0.25,-1.0,-0.7142857142857142,-0.4285714285714285,-0.5,-0.7142857142857142,0
31,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0000000000000002,-1,1.0,-1.0,1.0,1.0,1.0,-1.0,0.5,-1.0,0.0,0.33333333333333326,-0.19999999999999996,0.3333333333333335,0.5,-0.75,-1.0,-0.8,1.0,-1.0,-1.0,0.9999999999999998,-0.9999999999999999,-1.0,1.0,1.0,0.29032258064516125,0.4545454545454546,1.0,0.0,0.7142857142857144,0.1428571428571428,-1.0,-0.14814814814814814,-0.9999999999999999,-0.9999999999999999,0.5,0.0,1.0,0.75,-0.9999999999999999,-0.19999999999999973,0.5,-1.0,1.0,1.0,-1.0,-0.19999999999999996,-0.9999999999999999,-1,0.7142857142857144,-0.41176470588235303,1.0,-0.7777777777777778,-0.4366197183099234,-1,-0.9999999999999999,-1.0,0.1666666666666501,-1.0,-1.0,1.0,-1.0,-1.0,-0.9999999999999999,-1.0,-1.0,-0.6957932412821969,-0.75,-0.7497796003333133,-0.25,1.0,-0.7142857142857142,-0.4285714285714285,-0.5,-0.7142857142857142,0
20,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0000000000000002,-1,1.0,-1.0,1.0,0.0,-1.0,-1.0,-0.5,-1.0,0.0,-1.0,-1.0,-0.33333333333333326,-1.0,-0.75,-1.0,-0.8,-0.33333333333333326,-1.0,1.0,0.33333333333333326,-0.33333333333333326,-1.0,1.0,0.0,0.41935483870967727,0.2727272727272727,1.0,-0.6666666666666666,-0.9999999999999999,-0.9999999999999999,-1.0,-0.2222222222222222,0.1428571428571428,-0.9999999999999999,1.0,0.5,1.0,0.75,-0.9999999999999999,0.06666666666666687,-1.0,0.0,1.0,1.0,-1.0,0.0,-0.9999999999999999,-1,0.1428571428571428,-0.735294117647059,1.0,-0.11111111111111116,0.23943661971832042,-1,-0.9999999999999999,-1.0,-0.58333333333335,-1.0,-1.0,0.3333333333333335,-1.0,-1.0,-0.9999999999999999,-1.0,-0.75,-1.0,-1.0,-1.0,-0.25,1.0,-0.7142857142857142,-0.4285714285714285,-0.5,-0.4285714285714285,0
