,WWWWHITE,WWWMALE,WWWSEX,W12WHITE,AGE65PLM,AGE4049M,W12EDUC3,W1FIPCOM,W12BLACK,W2TOTCL,WWWBLACK,AGE5059M,AGE3039,W2FIPCOM,WWWHOMLN,AGE1829,W1TRUAM2,EDUCAT4,W2CIVLIB,CENSDIV,W12HISP,WWWBRNUS,WWWAGEC1,WWWEDU3,WWWHISP,WWWEDU5,W1STATE,AGE6064M,W12RACE4,W2SECURE,WWWRACE4,RAC3,WWWRACE3,NEWRACE,WWWAGE,COMPLET2,IMPHISP,RACES,W12OTHET,W2MISSCL,USAWT2RC,USAWT1RV,RACWT1RV,RHWT2CC,USAWT2CC,USAWT2NC,RHWT2RC,MULT2
1147,1,-1,1,1.0,1.0,-1.0,1.0,-0.1428571428571429,-1.0,1.0000000000000002,-1,-1.0,-1.0,0.1428571428571428,-1.0,-1.0,1.0,1.0,-0.2727272727272727,-0.935483870967742,-1.0,1.0,0.9999999999999998,1.0,-1,0.5,0.19999999999999996,-1.0,-0.9999999999999999,0.4545454545454546,-0.9999999999999999,-1.0,-1,-1.0,0.706666666666667,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.8181818181818181,-0.9292792390524015,-0.9351610525172983,-0.9697178878647092,-0.9842968085762243,-0.9715907119698496,-1.0,-0.9292792390524129,-1.0
267,-1,-1,1,-1.0,-1.0,-1.0,1.0,-0.1428571428571429,1.0,1.0000000000000002,1,-1.0,1.0,0.4285714285714285,1.0,-1.0,-0.19999999999999996,1.0,-0.6363636363636362,-0.935483870967742,-1.0,1.0,-0.33333333333333326,1.0,-1,1.0,0.49090909090909074,-1.0,-0.33333333333333326,0.8181818181818183,-0.33333333333333326,0.0,0,0.0,-0.4933333333333333,-1.0,0.1428571428571428,-0.5999999999999999,-1.0,-0.8181818181818181,-0.9860189996332027,-0.9930787900556668,-0.9930787900556016,-0.9945653454128173,-0.9956687220719531,-1.0,-0.9732639763709796,-1.0
2243,-1,-1,1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0000000000000002,-1,-1.0,-1.0,-0.1428571428571429,1.0,-1.0,-1.0,0.3333333333333335,0.2727272727272727,0.41935483870967727,1.0,1.0,0.6666666666666667,0.0,1,0.0,0.709090909090909,1.0,0.3333333333333335,-0.09090909090909083,0.3333333333333335,-1.0,-1,-1.0,0.20000000000000018,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-0.8181818181818181,-1.0,-1.0,-1.0,-0.998692460600181,-0.9989806380588245,-0.9992710264919236,-1.0,-1.0
936,1,1,-1,1.0,-1.0,-1.0,-1.0,-0.1428571428571429,-1.0,1.0000000000000002,-1,1.0,-1.0,0.4285714285714285,-1.0,-1.0,1.0,-0.9999999999999999,0.6363636363636365,0.35483870967741926,-1.0,1.0,0.33333333333333326,-1.0,-1,-1.0,-0.0181818181818183,-1.0,-0.9999999999999999,-0.4545454545454545,-0.9999999999999999,-1.0,-1,-1.0,0.01333333333333342,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.8181818181818181,-0.5723211758812619,-0.671609880729964,-0.8466300456444972,-0.9053342463010868,-0.8287363001030883,-1.0,-0.5723211758813973,-1.0
1528,-1,1,-1,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.8181818181818183,-1,-1.0,-1.0,-0.1428571428571429,-1.0,-1.0,-1.0,-0.33333333333333326,0.6363636363636365,-0.29032258064516125,-1.0,1.0,0.0,0.0,-1,-0.5,0.018181818181818077,-1.0,1.0,-0.6363636363636362,1.0,1.0,1,1.0,-0.22666666666666657,-1.0,0.1428571428571428,1.0000000000000004,1.0,-0.6363636363636362,-1.0,-1.0,-1.0,-0.9650645667117215,-0.9367968739626669,-0.9534155522341333,-1.0,-1.0
1454,1,-1,1,1.0,-1.0,-1.0,0.0,0.9999999999999999,-1.0,1.0000000000000002,-1,-1.0,-1.0,0.9999999999999999,-1.0,1.0,-0.19999999999999996,0.3333333333333335,0.6363636363636365,-0.3548387096774195,-1.0,1.0,-1.0,0.0,-1,0.0,0.9636363636363636,-1.0,-0.9999999999999999,-0.4545454545454545,-0.9999999999999999,-1.0,-1,-1.0,-0.9733333333333333,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.8181818181818181,-0.5789268020507587,-0.4788781732313848,-0.7566174312344276,-0.9072661237337023,-0.8322313388466887,-1.0,-0.578926802050491,-1.0
1196,1,-1,1,1.0,1.0,-1.0,-1.0,-0.1428571428571429,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,0.20000000000000018,-0.33333333333333326,-1.0,-0.935483870967742,-1.0,1.0,0.9999999999999998,0.0,-1,-0.5,0.49090909090909074,-1.0,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-1,-1.0,0.44000000000000017,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-1.0,-1.0,-0.39123677519873035,-0.7156857575110671,-1.0,-1.0,-1.0,-1.0,-1.0
419,-1,-1,1,-1.0,1.0,-1.0,1.0,-0.1428571428571429,1.0,-1.0,1,-1.0,-1.0,-1.0,-1.0,-1.0,0.20000000000000018,1.0,-1.0,0.9999999999999998,-1.0,1.0,0.9999999999999998,1.0,-1,1.0,-0.8181818181818182,-1.0,-0.33333333333333326,-1.0,-0.33333333333333326,0.0,0,0.0,0.4666666666666668,-1.0,0.1428571428571428,-0.5999999999999999,-1.0,-1.0,-1.0,-0.9900798352104655,-0.9900798352105136,-1.0,-1.0,-1.0,-1.0,-1.0
1826,1,-1,1,1.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0000000000000002,-1,1.0,-1.0,0.9999999999999999,-1.0,-1.0,-1.0,0.3333333333333335,0.2727272727272727,0.29032258064516125,-1.0,1.0,0.33333333333333326,0.0,-1,0.0,0.8181818181818181,-1.0,-0.9999999999999999,-0.09090909090909083,-0.9999999999999999,-1.0,-1,-1.0,-0.1466666666666665,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.8181818181818181,-1.0,-1.0,-1.0,-0.9273806245426275,-0.8686213077162005,-0.8693251221391525,-1.0,-1.0
3202,1,1,-1,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0000000000000002,-1,-1.0,1.0,0.9999999999999999,-1.0,-1.0,-1.0,1.0,1.0000000000000002,0.9354838709677418,-1.0,1.0,-0.33333333333333326,1.0,-1,1.0,-0.7454545454545455,-1.0,-0.9999999999999999,-0.8181818181818181,-0.9999999999999999,-1.0,-1,-1.0,-0.6533333333333332,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.8181818181818181,-1.0,-1.0,-1.0,-0.9726014976461526,-0.9504322450156445,-0.9506563212840324,-1.0,-1.0
2417,-1,1,-1,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0000000000000002,-1,-1.0,-1.0,0.4285714285714285,-1.0,-1.0,-1.0,1.0,-0.2727272727272727,0.29032258064516125,1.0,-1.0,0.0,1.0,1,0.5,-0.6000000000000001,-1.0,0.3333333333333335,0.4545454545454546,0.3333333333333335,-1.0,-1,-1.0,-0.22666666666666657,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-0.8181818181818181,-1.0,-1.0,-1.0,-0.999155867043798,-0.999341911219693,-0.9993390493570695,-1.0,-1.0
1260,1,-1,1,1.0,-1.0,-1.0,1.0,0.9999999999999999,-1.0,1.0000000000000002,-1,1.0,-1.0,0.9999999999999999,-1.0,-1.0,-0.6,1.0,0.2727272727272727,0.41935483870967727,-1.0,1.0,0.33333333333333326,1.0,-1,1.0,0.709090909090909,-1.0,-0.9999999999999999,-0.09090909090909083,-0.9999999999999999,-1.0,-1,-1.0,0.09333333333333349,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.8181818181818181,-0.7958998955630757,-0.8163031013306905,-0.9142069650975225,-0.9550505852118503,-0.918680169078938,-1.0,-0.7958998955631759,-1.0
2741,-1,-1,1,-1.0,-1.0,-1.0,1.0,-1.0,1.0,0.4545454545454546,1,1.0,-1.0,0.4285714285714285,-1.0,-1.0,-1.0,1.0,-0.09090909090909083,0.29032258064516125,-1.0,1.0,0.33333333333333326,1.0,-1,1.0,-0.6363636363636365,-1.0,-0.33333333333333326,-0.2727272727272727,-0.33333333333333326,0.0,0,0.0,0.01333333333333342,-1.0,0.1428571428571428,-0.5999999999999999,-1.0,-0.2727272727272727,-1.0,-1.0,-1.0,-0.9862970039215954,-0.9890790696059248,-0.9902351001037568,-1.0,-1.0
1831,1,-1,1,1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.8181818181818183,-1,-1.0,-1.0,0.9999999999999999,-1.0,1.0,-1.0,0.3333333333333335,-0.09090909090909083,-0.935483870967742,-1.0,1.0,-1.0,0.0,-1,0.0,0.49090909090909074,-1.0,-0.9999999999999999,0.09090909090909105,-0.9999999999999999,-1.0,-1,-1.0,-0.8666666666666666,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.6363636363636362,-1.0,-1.0,-1.0,-0.9057289874618247,-0.8294504425363631,-0.8300606377330197,-1.0,-1.0
443,-1,1,-1,-1.0,-1.0,-1.0,-1.0,0.4285714285714285,1.0,-1.0,1,-1.0,1.0,-1.0,-1.0,-1.0,0.6000000000000001,-0.9999999999999999,-1.0,-0.29032258064516125,-1.0,1.0,-0.33333333333333326,-1.0,-1,-1.0,0.018181818181818077,-1.0,-0.33333333333333326,-1.0,-0.33333333333333326,0.0,0,0.0,-0.6,1.0,0.1428571428571428,-0.5999999999999999,-1.0,-1.0,-1.0,-0.8840248269942785,-0.8840248269944742,-1.0,-1.0,-1.0,-1.0,-1.0
3072,1,-1,1,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0000000000000002,-1,-1.0,1.0,0.7142857142857141,-1.0,-1.0,-1.0,1.0,-0.09090909090909083,-1.0,-1.0,1.0,-0.33333333333333326,1.0,-1,0.5,-0.7090909090909091,-1.0,-0.9999999999999999,0.2727272727272727,-0.9999999999999999,-1.0,-1,-1.0,-0.43999999999999995,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.8181818181818181,-1.0,-1.0,-1.0,-0.9480663075388911,-0.9060446257208189,-0.906880527627215,-1.0,-1.0
1642,1,-1,1,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0000000000000002,-1,-1.0,-1.0,0.9999999999999999,-1.0,-1.0,-1.0,1.0,0.8181818181818183,0.9999999999999998,-1.0,1.0,0.9999999999999998,1.0,-1,0.5,-0.8181818181818182,-1.0,-0.9999999999999999,-0.6363636363636362,-0.9999999999999999,-1.0,-1,-1.0,0.52,1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.8181818181818181,-1.0,-1.0,-1.0,-0.9197884152036367,-0.8548859302328924,-0.8552070467202031,-1.0,-1.0
2742,-1,1,-1,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.8181818181818183,1,-1.0,-1.0,0.4285714285714285,-1.0,-1.0,-1.0,1.0,0.4545454545454546,-0.935483870967742,-1.0,1.0,0.9999999999999998,1.0,-1,0.5,0.49090909090909074,-1.0,-0.33333333333333326,-0.4545454545454545,-0.33333333333333326,0.0,0,0.0,0.5733333333333337,1.0,0.1428571428571428,-0.5999999999999999,-1.0,-0.6363636363636362,-1.0,-1.0,-1.0,-0.9925717755314414,-0.9940798988843211,-0.9958062813297786,-1.0,-1.0
3189,1,1,-1,1.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0000000000000002,-1,1.0,-1.0,0.9999999999999999,-1.0,-1.0,-1.0,0.3333333333333335,0.4545454545454546,-0.3548387096774195,-1.0,1.0,0.33333333333333326,0.0,-1,0.0,0.38181818181818183,-1.0,-0.9999999999999999,-0.2727272727272727,-0.9999999999999999,-1.0,-1,-1.0,0.01333333333333342,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.8181818181818181,-1.0,-1.0,-1.0,-0.8322698206063763,-0.6965524491709931,-0.6943575301775993,-1.0,-1.0
928,1,-1,1,1.0,-1.0,1.0,0.0,0.4285714285714285,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,0.20000000000000018,0.3333333333333335,-1.0,0.35483870967741926,-1.0,1.0,0.0,0.0,-1,0.0,-1.0,-1.0,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-1,-1.0,-0.19999999999999996,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-1.0,-1.0,-0.5871275166498218,-0.8071737539886378,-1.0,-1.0,-1.0,-1.0,-1.0
698,-1,-1,1,-1.0,-1.0,-1.0,1.0,0.9999999999999999,1.0,1.0000000000000002,1,-1.0,-1.0,-0.1428571428571429,-1.0,1.0,0.20000000000000018,1.0,1.0000000000000002,-0.935483870967742,-1.0,1.0,-0.6666666666666666,1.0,-1,0.5,0.2727272727272727,-1.0,-0.33333333333333326,-0.8181818181818181,-0.33333333333333326,0.0,0,0.0,-0.7066666666666666,-1.0,0.1428571428571428,-0.5999999999999999,-1.0,-0.8181818181818181,-0.5069438452957464,-0.7559155231026837,-0.7559155231026846,-0.8083406177964001,-0.8472524723466384,-1.0,-0.057123191715452215,-1.0
137,1,-1,1,1.0,-1.0,1.0,-1.0,0.1428571428571428,-1.0,1.0000000000000002,-1,-1.0,-1.0,-0.1428571428571429,-1.0,-1.0,0.6000000000000001,-0.33333333333333326,0.4545454545454546,0.9999999999999998,-1.0,1.0,0.0,0.0,-1,-0.5,-0.8181818181818182,-1.0,-0.9999999999999999,-0.2727272727272727,-0.9999999999999999,-1.0,-1,-1.0,-0.22666666666666657,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.8181818181818181,-0.9836179904327852,-0.9830081412573067,-0.9920641930227095,-0.9963910118058505,-0.9934708313528886,-1.0,-0.9836179904327244,-1.0
610,1,-1,1,1.0,-1.0,-1.0,-1.0,0.4285714285714285,-1.0,-1.0,-1,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.9999999999999999,-1.0,-0.3548387096774195,-1.0,1.0,0.33333333333333326,-1.0,-1,-1.0,-0.4181818181818182,-1.0,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-1,-1.0,0.09333333333333349,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-1.0,-1.0,-0.6011095074844119,-0.8137038447868925,-1.0,-1.0,-1.0,-1.0,-1.0
2357,-1,1,-1,-1.0,-1.0,1.0,0.0,-1.0,-1.0,1.0000000000000002,-1,-1.0,-1.0,0.4285714285714285,1.0,-1.0,-1.0,0.3333333333333335,-0.09090909090909083,0.9999999999999998,1.0,-1.0,0.0,0.0,1,0.0,-0.8181818181818182,-1.0,0.3333333333333335,0.2727272727272727,0.3333333333333335,-1.0,-1,-1.0,-0.2799999999999998,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-0.8181818181818181,-1.0,-1.0,-1.0,-0.9981217521344956,-0.9985357118948747,-0.9984340022511503,-1.0,-1.0
567,1,1,-1,1.0,1.0,-1.0,-1.0,0.9999999999999999,-1.0,1.0000000000000002,-1,-1.0,-1.0,0.9999999999999999,-1.0,-1.0,0.6000000000000001,-0.33333333333333326,0.6363636363636365,-0.29032258064516125,-1.0,1.0,0.9999999999999998,0.0,-1,-0.5,-0.34545454545454546,-1.0,-0.9999999999999999,-0.4545454545454545,-0.9999999999999999,-1.0,-1,-1.0,0.41333333333333355,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.8181818181818181,-0.5989148083179259,-0.678013624102161,-0.8496208232929154,-0.911733377794521,-0.84031323149453,-1.0,-0.5989148083179865,-1.0
1575,1,1,-1,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0000000000000002,-1,-1.0,1.0,0.4285714285714285,-1.0,-1.0,-1.0,1.0,0.2727272727272727,-0.3548387096774195,-1.0,1.0,-0.33333333333333326,1.0,-1,0.5,-0.09090909090909094,-1.0,-0.9999999999999999,-0.09090909090909083,-0.9999999999999999,-1.0,-1,-1.0,-0.6,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.8181818181818181,-1.0,-1.0,-1.0,-0.8795446855384906,-0.7820793473789859,-0.7817335879344383,-1.0,-1.0
307,1,1,-1,1.0,1.0,-1.0,1.0,0.4285714285714285,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.29032258064516125,-1.0,1.0,0.9999999999999998,1.0,-1,0.5,-0.6363636363636365,-1.0,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-1,-1.0,0.4933333333333334,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-1.0,-1.0,-0.9961909675745557,-0.9982210453513568,-1.0,-1.0,-1.0,-1.0,-1.0
185,1,1,-1,1.0,1.0,-1.0,0.0,0.9999999999999999,-1.0,1.0000000000000002,-1,-1.0,-1.0,0.4285714285714285,1.0,-1.0,1.0,0.3333333333333335,0.4545454545454546,0.41935483870967727,-1.0,1.0,0.9999999999999998,0.0,-1,0.0,0.709090909090909,-1.0,-0.9999999999999999,-0.2727272727272727,-0.9999999999999999,-1.0,-1,-1.0,0.52,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.8181818181818181,-0.9941384501214212,-0.9920201183558245,-0.9962731092937062,-0.998711822553119,-0.9976695053167669,-1.0,-0.994138450121468,-1.0
1872,-1,1,-1,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0000000000000002,-1,-1.0,-1.0,0.4285714285714285,1.0,-1.0,-1.0,1.0,0.09090909090909105,-0.935483870967742,-1.0,-1.0,0.0,1.0,-1,0.5,0.2727272727272727,-1.0,1.0,0.09090909090909105,1.0,1.0,1,1.0,-0.17333333333333334,-1.0,0.1428571428571428,0.6000000000000001,1.0,-0.8181818181818181,-1.0,-1.0,-1.0,-0.7368144803850933,-0.5238602758936595,-0.6582865660479091,-1.0,-1.0
3243,1,-1,1,1.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0000000000000002,-1,-1.0,-1.0,0.9999999999999999,-1.0,1.0,-1.0,0.3333333333333335,0.6363636363636365,0.35483870967741926,-1.0,1.0,-0.6666666666666666,0.0,-1,0.0,0.6727272727272726,-1.0,-0.9999999999999999,-0.4545454545454545,-0.9999999999999999,-1.0,-1,-1.0,-0.7066666666666666,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.8181818181818181,-1.0,-1.0,-1.0,-0.8990614634562556,-0.8173879512369132,-0.8183662300695577,-1.0,-1.0
2048,-1,1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0000000000000002,1,-1.0,-1.0,-0.1428571428571429,-1.0,1.0,-1.0,-0.33333333333333326,0.6363636363636365,0.41935483870967727,-1.0,1.0,-1.0,0.0,-1,-0.5,-0.23636363636363644,-1.0,-0.33333333333333326,-0.4545454545454545,-0.33333333333333326,0.0,0,0.0,-0.9199999999999999,-1.0,0.1428571428571428,-0.5999999999999999,-1.0,-0.8181818181818181,-1.0,-1.0,-1.0,-0.9411313090749673,-0.9530831890846643,-0.9579144294659597,-1.0,-1.0
3188,1,-1,1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6363636363636365,-1,-1.0,1.0,0.9999999999999999,1.0,-1.0,-1.0,-0.33333333333333326,0.09090909090909105,0.29032258064516125,-1.0,1.0,-0.33333333333333326,0.0,-1,-0.5,-0.6000000000000001,-1.0,-0.9999999999999999,-0.2727272727272727,-0.9999999999999999,-1.0,-1,-1.0,-0.6266666666666666,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.4545454545454545,-1.0,-1.0,-1.0,-0.9326615177724448,-0.8781751883747744,-0.878110826153918,-1.0,-1.0
465,-1,1,-1,-1.0,-1.0,-1.0,-1.0,-0.1428571428571429,1.0,-1.0,1,-1.0,1.0,-1.0,-1.0,-1.0,-0.19999999999999996,-0.33333333333333326,-1.0,-0.935483870967742,-1.0,1.0,-0.33333333333333326,0.0,-1,-0.5,0.2727272727272727,-1.0,-0.33333333333333326,-1.0,-0.33333333333333326,0.0,0,0.0,-0.5466666666666666,1.0,0.1428571428571428,-0.5999999999999999,-1.0,-1.0,-1.0,-0.9363925321055234,-0.9363925321055301,-1.0,-1.0,-1.0,-1.0,-1.0
729,1,1,-1,1.0,-1.0,-1.0,-1.0,0.4285714285714285,-1.0,1.0000000000000002,-1,1.0,-1.0,0.9999999999999999,-1.0,-1.0,0.6000000000000001,-0.33333333333333326,1.0000000000000002,-0.935483870967742,-1.0,1.0,0.33333333333333326,0.0,-1,-0.5,0.19999999999999996,-1.0,-0.9999999999999999,-0.8181818181818181,-0.9999999999999999,-1.0,-1,-1.0,0.06666666666666687,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.8181818181818181,-0.7463950099495205,-0.6804334675397108,-0.8507509768992463,-0.9438768892599035,-0.8984653771876389,-1.0,-0.7463950099494998,-1.0
