,CL1R,CL7R,CL5R,CT2BIN,CL2R,DEMOC,MOD,FEMALE,COLGRD,CON,CL9R,WWWWHITE,SOMCOL,W12WHITE,REPUB,INDEP,CL8R,BABS,COMHS,IWER3,PTYID3,AGE65PLM,AGE4049M,CD4A_A,W12EDUC3,WWWBLACK,LIB,CD8,W2TOTCL,AGE5059M,FIPCOM,VPROUD,IDEO3,AGE3039,STRATA,DOG6R,W1TRUAM2,CT1A,DOG4R,CD7_A,SEC8,COMPLET2,ADVDEG,WWWHOMLN,SEC5,PROUD,CENSDIV,EDUCAT4,AGE1829,F2,INCA,GT2,W2CIVLIB,CL7,CL2,P17_A,CL5,INCOME,AGE6064M,CL6B,WWWAGEC1,WWWEDU3,FIP2,CL4A,CL9,CL10R,WWWEDU5,MEANFR,B1,W1STATE,CD5A,FIP1,CL1,CL8,SEC4,W2SECURE,WWWHISP,W12HISP,RAC3,WWWRACE3,W12RACE4,WWWRACE4,WWWAGE,NEWRACE,CD6,POLINT,LOPROU,B2,CLPROP,MNDOG,LTHS,IWER1,V1_B,DOG2R,USAWT2RC,P1,WWWBRNUS,DOG3R,DOG5R,CL10
2902,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1,1.0,-0.9999999999999999,1.0000000000000002,-1.0,0.1428571428571428,-1.0,1.0,-1.0,0.0,0.0,-1.0,0.3333333333333335,-1.0,0.75,-0.9999999999999999,1.0,-1.0,-1.0,-0.9999999999999999,1.0,-0.3548387096774195,-0.9999999999999999,-1.0,-0.9999999999999999,1.0,1.0,0.2727272727272727,-0.9999999999999999,-0.9999999999999999,0.7142857142857144,0.1428571428571428,1.0,-1.0,1.0,0.9999999999999998,-1.0,0.7142857142857144,1.0,-0.9999999999999999,1.0,-1.0,0.7333333333333334,1.0,-0.09090909090909094,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.33333333333333326,-0.33333333333333326,-0.09090909090909083,-1,-1.0,0.0,0,-0.33333333333333326,-0.33333333333333326,0.44117647058823506,0.0,-0.11111111111111116,0.3333333333333335,-1.0,-0.9999999999999999,0.23943661971832042,-0.30000000000000004,1.0,1.0,-0.75,-0.75,-1.0,-0.5,1.0,-0.75,-0.5,0.1428571428571428
891,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1,-1.0,0.20000000000000018,1.0000000000000002,-1.0,0.9999999999999999,1.0,0.0,-1.0,1.0,-1.0,-0.19999999999999996,0.3333333333333335,-1.0,-0.75,-0.4285714285714285,-1.0,-1.0,-1.0,-0.33333333333333326,-1.0,0.29032258064516125,1.0,-1.0,0.3333333333333335,-1.0,0.0,-0.2727272727272727,0.1428571428571428,-0.9999999999999999,-0.1428571428571428,0.1428571428571428,-0.25,1.0,0.0,0.6666666666666667,1.0,-0.9999999999999999,0.0,0.1428571428571428,1.0,0.5,0.06666666666666687,-1.0,-0.6000000000000001,0.1428571428571428,-0.9999999999999999,-0.9999999999999999,0.33333333333333326,-0.33333333333333326,0.4545454545454546,-1,-1.0,-1.0,-1,-0.9999999999999999,-0.9999999999999999,0.2058823529411764,-1.0,-0.11111111111111116,0.3333333333333335,-1.0,-0.9999999999999999,0.12676056338040653,-0.1666666666666501,-1.0,1.0,-1.0,-0.25,-0.91611851355431,-1.0,1.0,-0.75,0.5,0.1428571428571428
1635,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1,-1.0,-0.9999999999999999,1.0000000000000002,-1.0,0.4285714285714285,1.0,0.0,-1.0,1.0,-1.0,-1.0,-0.33333333333333326,-1.0,-0.75,-0.7142857142857142,-1.0,1.0,-1.0,-0.33333333333333326,-1.0,0.41935483870967727,1.0,1.0,0.3333333333333335,-1.0,0.0,0.2727272727272727,-0.9999999999999999,-0.9999999999999999,-0.1428571428571428,0.1428571428571428,0.75,-1.0,-1.0,-0.6666666666666666,1.0,-0.9999999999999999,0.5,0.1428571428571428,1.0,1.0,0.06666666666666687,-1.0,-0.23636363636363644,0.1428571428571428,0.1428571428571428,-0.9999999999999999,0.33333333333333326,-0.9999999999999999,-0.09090909090909083,-1,-1.0,-1.0,-1,-0.9999999999999999,-0.9999999999999999,-0.735294117647059,-1.0,-0.11111111111111116,0.3333333333333335,-1.0,-0.9999999999999999,0.23943661971832042,-0.58333333333335,-1.0,1.0,-1.0,-0.75,-1.0,-1.0,1.0,-0.75,-1.0,0.1428571428571428
508,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1,-1.0,0.20000000000000018,1.0000000000000002,-1.0,-0.1428571428571429,1.0,-1.0,-1.0,0.0,0.0,0.6000000000000001,-0.33333333333333326,0.0,0.75,-0.9999999999999999,-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.29032258064516125,-0.9999999999999999,-1.0,0.3333333333333335,0.0,0.0,0.09090909090909105,0.1428571428571428,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,-0.75,-1.0,0.5,0.9999999999999998,-1.0,1.0,0.5,0.1428571428571428,1.0,-1.0,0.0,-1.0,0.8181818181818181,0.1428571428571428,0.1428571428571428,0.1428571428571428,-1.0,-0.9999999999999999,0.09090909090909105,-1,-1.0,0.0,0,-0.33333333333333326,-0.33333333333333326,0.5294117647058822,0.0,-0.11111111111111116,0.3333333333333335,-1.0,-0.9999999999999999,-0.15492957746488512,0.75,1.0,1.0,-0.25,0.0,-0.9461322965291427,-1.0,1.0,0.0,1.0,0.1428571428571428
1973,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,0.0,1,1.0,1.0000000000000004,1.0000000000000002,-1.0,0.4285714285714285,-1.0,1.0,-1.0,0.0,-0.25,-1.0,-0.33333333333333326,0.5,0.75,-0.7142857142857142,-1.0,-1.0,1.0,-0.33333333333333326,1.0,0.35483870967741926,0.3333333333333335,-1.0,-0.33333333333333326,0.0,-1.0,-0.2727272727272727,0.1428571428571428,-0.9999999999999999,0.7142857142857144,-0.9999999999999999,-0.75,-1.0,0.0,0.0,0.0,-0.9999999999999999,0.5,0.1428571428571428,1.0,0.0,0.8666666666666667,0.0,-1.0,0.1428571428571428,0.1428571428571428,0.1428571428571428,-1.0,-0.9999999999999999,0.4545454545454546,-1,-1.0,0.0,0,-0.33333333333333326,-0.33333333333333326,-0.2941176470588236,0.0,0.5555555555555554,0.3333333333333335,-1.0,0.1428571428571428,-0.5211267605633589,0.5833333333333499,-1.0,1.0,-0.75,-0.25,-1.0,-0.5,1.0,-0.25,0.5,0.1428571428571428
1753,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1,-1.0,-0.9999999999999999,1.0000000000000002,-1.0,0.9999999999999999,1.0,0.0,-1.0,1.0,-0.75,-1.0,0.3333333333333335,-1.0,-0.75,-0.4285714285714285,-1.0,-1.0,-1.0,0.3333333333333335,-1.0,-0.3548387096774195,1.0,-1.0,0.3333333333333335,-1.0,0.0,0.09090909090909105,0.1428571428571428,-0.9999999999999999,-0.1428571428571428,0.1428571428571428,0.75,-1.0,-1.0,0.0,1.0,-0.9999999999999999,0.0,-0.9999999999999999,1.0,0.5,-0.46666666666666656,-1.0,-0.09090909090909094,0.1428571428571428,-0.9999999999999999,-0.9999999999999999,0.33333333333333326,-0.33333333333333326,0.09090909090909105,-1,-1.0,-1.0,-1,-0.9999999999999999,-0.9999999999999999,-0.3529411764705883,-1.0,0.33333333333333326,0.3333333333333335,-1.0,-0.9999999999999999,-0.014084507042239292,-0.3333333333333499,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.75,0.5,0.1428571428571428
3168,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,-1,1.0,-0.9999999999999999,1.0000000000000002,1.0,0.9999999999999999,1.0,1.0,-1.0,1.0,0.0,-1.0,1.0,-1.0,0.0,-0.1428571428571428,-1.0,-1.0,-1.0,1.0,-1.0,0.41935483870967727,0.3333333333333335,-1.0,1.0,-1.0,-1.0,0.4545454545454546,0.1428571428571428,0.1428571428571428,0.7142857142857144,0.1428571428571428,0.75,-1.0,-1.0,0.33333333333333326,0.0,-0.9999999999999999,0.0,-0.9999999999999999,1.0,0.0,-0.7333333333333333,-1.0,0.709090909090909,0.1428571428571428,-0.9999999999999999,-0.9999999999999999,0.33333333333333326,-0.33333333333333326,-0.2727272727272727,-1,-1.0,-1.0,-1,-0.9999999999999999,-0.9999999999999999,-0.02941176470588247,-1.0,0.33333333333333326,-0.33333333333333326,-1.0,-0.9999999999999999,0.49295774647888013,0.5,-1.0,1.0,-1.0,0.0,-1.0,-1.0,1.0,-0.25,1.0,0.1428571428571428
2050,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1,-1.0,1.0000000000000004,1.0000000000000002,-1.0,0.4285714285714285,1.0,0.0,-1.0,0.0,-0.25,-1.0,-0.33333333333333326,-0.5,0.75,-0.1428571428571428,-1.0,-1.0,-1.0,-0.33333333333333326,-1.0,0.29032258064516125,-0.33333333333333326,-1.0,0.3333333333333335,0.0,0.75,-0.09090909090909083,0.1428571428571428,-0.9999999999999999,-0.1428571428571428,0.1428571428571428,-0.75,-1.0,-1.0,0.0,0.0,-0.9999999999999999,-1.0,0.1428571428571428,1.0,-0.5,0.3333333333333335,-1.0,-0.6363636363636365,0.1428571428571428,0.1428571428571428,-0.9999999999999999,-1.0,-0.9999999999999999,0.2727272727272727,-1,-1.0,0.0,0,-0.33333333333333326,-0.33333333333333326,-0.17647058823529438,0.0,0.5555555555555554,0.3333333333333335,-1.0,-0.9999999999999999,-0.267605633802799,0.08333333333334991,-1.0,1.0,-1.0,-0.75,-1.0,-1.0,1.0,0.0,0.5,0.1428571428571428
46,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1,-1.0,-0.19999999999999973,-1.0,1.0,0.4285714285714285,1.0,-1.0,-1.0,-1.0,-0.75,-0.19999999999999996,1.0,0.5,0.0,-0.4285714285714285,-1.0,-1.0,-1.0,1.0,-1.0,0.41935483870967727,0.3333333333333335,-1.0,-0.33333333333333326,-1.0,-1.0,-1.0,0.1428571428571428,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,0.5,-1.0,0.5,0.33333333333333326,0.0,-0.9999999999999999,0.75,0.1428571428571428,1.0,0.0,0.7333333333333334,-1.0,0.709090909090909,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.33333333333333326,-0.33333333333333326,-1.0,-1,-1.0,-1.0,-1,-0.9999999999999999,-0.9999999999999999,-0.05882352941176494,-1.0,-0.7777777777777778,0.3333333333333335,-1.0,-0.9999999999999999,0.12676056338040653,0.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,1.0,-0.75,-1.0,0.1428571428571428
1040,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1,-1.0,-0.9999999999999999,-1.0,-1.0,0.4285714285714285,1.0,0.0,-1.0,1.0,-0.75,0.20000000000000018,1.0,-1.0,-0.75,-0.7142857142857142,-1.0,-1.0,-1.0,-0.33333333333333326,-1.0,-0.29032258064516125,1.0,1.0,0.3333333333333335,-1.0,0.0,-1.0,0.1428571428571428,-0.9999999999999999,-0.1428571428571428,0.1428571428571428,0.5,-1.0,0.5,-0.6666666666666666,1.0,0.1428571428571428,0.0,-0.9999999999999999,-1.0,0.5,-0.33333333333333326,-1.0,0.6363636363636362,0.1428571428571428,-0.9999999999999999,0.1428571428571428,0.33333333333333326,-0.33333333333333326,-1.0,-1,-1.0,-1.0,-1,-0.9999999999999999,-0.9999999999999999,-0.735294117647059,-1.0,-0.7777777777777778,0.3333333333333335,-1.0,-0.9999999999999999,-0.15492957746488512,-0.25,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.25,-0.5,-0.9999999999999999
