,W3IWER4_A
1224,1
2094,0
574,1
1769,1
604,0
1466,0
1119,0
1153,0
1818,0
1216,0
1569,1
341,0
709,1
122,0
3150,0
759,1
2516,0
1965,0
1391,0
2371,1
349,0
760,0
358,0
1169,0
2864,1
1513,0
2166,1
733,0
931,0
3173,0
474,1
2752,0
1820,0
288,1
1615,0
2102,0
671,0
2087,1
496,0
420,1
564,0
488,0
311,1
2139,0
1540,0
2935,0
1449,0
2382,0
3279,0
1425,1
1492,0
2490,1
905,0
535,0
388,0
1742,0
2206,1
1212,0
796,0
1987,1
1074,0
147,1
254,0
457,0
1563,0
1510,0
347,0
3235,0
1085,0
533,0
3164,1
2769,1
1460,0
959,1
367,0
994,0
1147,0
1601,0
553,1
1315,1
2278,1
2877,1
1167,0
3142,1
895,1
3258,1
1430,1
95,1
1803,1
986,1
908,0
2883,0
2286,0
1470,0
1288,0
3079,1
1195,0
1081,0
1698,1
24,0
1907,0
1309,0
1731,0
509,1
1268,1
890,1
1313,0
957,1
373,0
2466,1
2188,0
2854,0
1478,0
473,0
1760,1
529,0
2383,0
919,0
1708,1
1297,0
2049,1
668,0
3255,1
2406,0
1886,0
1714,0
975,0
1770,0
1827,0
1940,0
1125,0
1878,1
2598,1
264,0
1039,0
1609,0
685,0
765,0
2808,1
1581,0
1381,0
2211,0
3246,0
761,1
1044,0
2508,1
1368,1
1715,1
885,0
3117,1
613,0
1961,1
279,0
2031,0
702,0
720,0
2340,0
940,0
383,0
1920,0
1305,1
1014,1
392,0
201,0
285,0
468,0
487,0
2958,0
2542,0
657,0
1634,0
1646,0
1807,0
1462,0
687,0
1852,1
456,0
87,1
963,0
1858,0
1405,0
193,1
997,0
1142,0
1210,0
342,0
1791,1
117,1
1814,0
888,1
1637,0
2416,0
953,0
497,0
1346,0
625,1
2037,1
2325,0
511,0
79,0
77,0
525,0
809,0
1533,0
1638,1
2492,0
2515,1
2215,0
2140,0
376,0
1234,0
1230,0
485,0
789,0
2326,1
1314,1
755,0
1036,0
663,0
532,0
1129,1
723,0
624,0
2092,1
3128,0
1705,1
1649,0
1347,0
3209,1
3119,0
153,0
627,0
1668,0
2138,0
2332,0
1384,0
1454,1
1930,1
2979,1
196,1
2529,0
1451,0
3248,1
2072,1
1354,1
455,0
1113,0
872,1
967,0
659,0
1408,0
1966,0
269,0
22,0
871,1
1438,0
1641,0
850,1
156,0
2421,0
1082,0
541,0
1656,0
2435,0
1819,1
839,0
461,0
3018,1
869,1
1789,1
1535,1
1627,0
1206,1
2248,0
1628,0
322,0
2274,0
2823,1
1937,1
335,0
1771,0
1871,1
1426,0
1389,0
301,1
2481,1
1738,0
724,0
1843,0
1097,0
3088,0
1602,1
1895,1
3158,0
2896,0
19,0
978,1
1732,1
32,0
1023,1
556,0
1366,0
630,0
2093,0
3239,1
792,0
1412,0
751,0
1480,0
1782,0
1228,1
757,1
498,1
1889,1
2077,0
2967,0
1813,0
1574,1
435,0
2391,1
917,1
1751,1
2017,0
938,0
169,1
1065,1
386,1
747,0
275,0
1027,0
860,1
1752,1
309,0
1350,0
1721,1
611,1
1704,1
171,0
1808,1
3299,0
841,0
452,0
2890,0
2982,0
2159,0
988,1
1398,0
2171,0
1763,0
1505,0
1526,0
2090,0
3100,0
2205,1
831,1
746,0
2006,0
3096,1
1702,1
1324,0
2133,0
448,1
2259,0
2132,1
472,0
775,0
345,0
1700,1
45,0
3237,1
2158,0
926,1
222,0
682,0
1446,0
1218,0
936,0
517,0
1730,1
984,0
423,0
770,0
2168,0
927,1
2169,0
1662,1
1534,1
2316,0
1414,0
1356,0
2057,1
133,1
632,1
1536,0
2501,0
