,W3IWER4_A
2066,0
2692,0
731,0
373,0
2309,0
1440,1
2912,0
1289,1
2054,1
1379,0
1592,0
3086,1
1567,1
235,0
555,0
384,0
1665,1
2214,0
626,1
723,0
844,1
1515,0
447,0
1134,0
1569,1
171,0
1485,0
1167,0
939,0
1152,1
184,0
878,0
1968,0
701,1
1493,1
484,0
2201,0
199,1
2237,0
1881,0
1203,0
1963,0
3248,1
1692,1
1475,0
2091,1
518,0
917,1
2317,1
771,1
1319,0
1276,1
1442,0
1081,0
1446,0
1546,0
702,0
2421,0
1745,0
1016,0
1816,1
1509,1
1635,0
329,1
553,1
778,1
3108,1
920,1
1362,1
312,1
1906,0
620,0
3228,1
1887,0
2132,1
246,0
1835,0
1181,1
841,0
3209,1
1388,0
897,0
1990,0
1866,0
816,0
1453,0
2961,0
1250,0
1941,1
1497,1
1972,0
2125,0
782,1
2167,0
1065,1
176,0
1631,0
215,0
1436,0
992,0
1431,0
172,1
1280,1
1180,0
82,0
2873,0
1590,0
736,0
1308,0
845,0
514,0
292,1
342,0
1702,1
989,1
2325,0
831,1
345,0
371,0
2777,0
955,0
483,0
1830,0
187,0
1010,0
1115,1
124,1
2367,1
888,1
2866,0
2411,1
1953,0
2014,0
114,0
1909,0
2062,0
2819,1
1428,0
581,0
1064,0
2351,1
1955,0
2131,0
1834,0
306,0
1230,0
81,1
455,0
3279,0
1720,1
1256,0
2289,1
1756,1
1409,0
197,0
497,0
527,0
249,1
264,0
1712,1
924,0
1109,0
2804,1
367,0
2479,0
1149,1
426,0
1169,0
1496,0
3155,1
2162,0
1967,0
2879,0
1400,0
1215,0
957,1
2813,0
1895,1
1524,0
1920,0
598,0
389,1
469,0
3095,0
297,0
1598,0
1919,1
2455,1
1235,0
1722,1
1210,0
811,0
119,0
3288,1
3104,0
2954,0
1499,1
1878,1
1956,0
1124,0
1354,1
283,0
337,0
2899,1
1922,1
1262,0
996,0
2057,1
1288,0
413,0
2070,1
1986,0
1029,0
789,0
1642,1
2711,0
1811,1
